,Task,Number of Subjects,Number corectly sovled (first attempt),Number correctly solved (all attemtps)
0,3aa6fb7a.json,20,20,20
1,2281f1f4.json,19,16,18
2,f9012d9b.json,36,12,18
3,d631b094.json,16,16,16
4,6e82a1ae.json,36,18,25
5,e179c5f4.json,15,12,14
6,c8f0f002.json,17,15,16
7,99b1bc43.json,36,12,15
8,228f6490.json,18,12,17
9,a3325580.json,23,15,18
10,d9fac9be.json,14,11,14
11,47c1f68c.json,21,4,8
12,025d127b.json,18,11,14
13,1fad071e.json,36,24,29
14,39a8645d.json,20,18,18
15,1e0a9b12.json,36,26,29
16,b94a9452.json,19,12,19
17,7c008303.json,36,22,22
18,150deff5.json,19,13,16
19,1caeab9d.json,36,20,25
20,f76d97a5.json,18,17,18
21,a5313dff.json,24,21,24
22,e5062a87.json,15,11,13
23,62c24649.json,21,14,16
24,3af2c5a8.json,36,15,20
25,6773b310.json,23,14,15
26,444801d8.json,20,16,20
27,ac0a08a4.json,19,16,19
28,31aa019c.json,20,13,17
29,5c0a986e.json,19,14,18
30,ded97339.json,15,11,14
31,a87f7484.json,21,19,20
32,a78176bb.json,22,5,15
33,7ddcd7ec.json,23,18,21
34,97999447.json,23,19,22
35,1f876c06.json,36,25,28
36,6c434453.json,36,24,28
37,b8cdaf2b.json,21,16,20
38,6150a2bd.json,20,17,19
39,e50d258f.json,17,12,17
