phrase_number	task_number	task_name	description_id	phrase_kind	nth_phrase_in_paragraph	phrase	tag_procedure	tag_metaphor	tag_clarification	tag_example	tag_array	tag_validation	tag_loop	tag_start_stop	tag_conditional	tag_logic	tag_framing	tag_spatial_relation	tag_physical_interaction	tag_contact_transform	tag_affine_transform	tag_visual_graphical_transform	tag_object_detection
1	1	00d62c1b.json	2def69cd-2840-41b2-8964-e4c2e11b4b78	input	1	a design with lines and empty squares.	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
2	1	00d62c1b.json	2def69cd-2840-41b2-8964-e4c2e11b4b78	grid_size	1	stays the same.	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
3	1	00d62c1b.json	2def69cd-2840-41b2-8964-e4c2e11b4b78	output	1	look at the color that form the design in the input.	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
4	1	00d62c1b.json	2def69cd-2840-41b2-8964-e4c2e11b4b78	output	2	Find any empty areas of blocks that are enclosed  by the lines that form the main design, fill them yellow.	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1
5	1	00d62c1b.json	2def69cd-2840-41b2-8964-e4c2e11b4b78	output	3	You should end with the same original design from the input, but with the empty areas filled yellow.	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1
6	1	00d62c1b.json	bb575924-670b-4351-bbe9-9cdbd1d91c2c	input	1	A random green pattern	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
7	1	00d62c1b.json	bb575924-670b-4351-bbe9-9cdbd1d91c2c	grid_size	1	Remains the same as the input size	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
8	1	00d62c1b.json	bb575924-670b-4351-bbe9-9cdbd1d91c2c	output	1	Fill each enclosed hole with yellow	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1
9	2	017c7c7b.json	f8344fbf-a9db-4dec-b0ea-4eae7cdc310c	input	1	a grid that is 3x6 with black and blue.	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
10	2	017c7c7b.json	f8344fbf-a9db-4dec-b0ea-4eae7cdc310c	grid_size	1	add 3 rows to the bottom.	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0
