build_id,user_id,is_success,num_attempts,num_actions,user_num_prior_description_experiences,user_num_prior_build_experiences,build_time
mH7P5WahBv57EtKmkC2f,73048b0c-96a9-4c7d-a785-db3e00fa6a00,False,3,38.0,0,0,536.397
z3fjn1yiK6r2G2pwkndW,7042b520-f67b-4dee-a40e-ddb0cc2cd6e1,False,3,64.0,2,5,207.761
Xk4SeSoPWgURL02kyw9C,6191159f-4cb9-4792-96a0-c26b9c7dae64,False,3,125.0,4,1,223.911
0lowXYnKv6Nzohx8fCtV,174e118b-9fa3-4e9e-bc6f-503afa570808,False,3,58.0,0,0,302.691
Kd2M8OmY18OtIBStmeju,af6ff71d-e081-4bdc-b53c-b2bcb9abdd94,False,3,584.0,0,2,836.525
4c4W4jfjNSPXTt9xEryg,69bc7a61-972e-4634-a414-f7a782f7327f,True,2,13.0,0,0,256.735
liecKb9iAiIDbDXN5rFL,264d543f-0a05-44ac-9889-0a11064f7826,True,2,12.0,0,14,47.984
oYSQEJwEJg3YzXuDtgpk,b7e5a82d-99f7-4a2c-b7c4-29b926be56c0,False,3,222.0,0,1,385.86
MpP6cX1Jxc2vwUqztj9i,3c45dc49-c87a-43ba-a565-6297b4adf0d2,False,3,40.0,0,0,502.891
Jf9qRy2jJLjrOmE7Sm9A,2c2933ff-af96-4aa5-bdc3-7757ab3d31d5,True,2,24.0,0,4,63.032
8YaAXUZqUGkP4nP7GFBt,1a62f0ec-e02e-4601-925e-633191f8f68e,False,3,14.0,0,0,80.388
QQR9lIt3jTYHAFZZjeqL,c634c827-d2d1-4685-860c-08018e1b9ecf,False,3,32.0,0,0,182.837
crGuwTB9S32vr5Vm6dqk,38073271-a738-4944-9030-e5a3999d1925,False,3,41.0,0,2,525.503
805MLBBtiHP5R58RO60t,24d42a42-ea96-49b6-b1be-3a395f8b787e,False,3,32.0,1,1,619.234
E9jBLm9iW6o8gUk2Yifr,3e8335d5-2968-4be7-97aa-ecdcf67f1e51,False,3,17.0,0,5,94.632
cQ35CyBQbqmnr7nxeQI0,3f4f7ae1-950c-4c0c-86fe-ae1ecda7b106,False,3,36.0,0,1,341.976
xW0ucYul9bEqyRB2SYeS,76ea9018-048a-44a0-9181-b71188d7ce87,False,3,62.0,0,4,295.675
1MpYDpzgYJ7KiGM0LAZg,e8ff7cdd-bcdc-4c11-9324-a9140883120c,False,3,101.0,2,2,422.522
dj9iVMtCRiZ8bX5y7X7p,657befc7-a20e-401d-9f38-294da4c25177,False,3,55.0,0,1,319.256
hJIPB4QTaeu2XAH6pvrP,c7ec5107-a9c7-4770-a7b5-bd1211672a3e,False,3,8.0,0,1,107.21
rpIXvE0fgIwDEfJmm5ON,2807a056-90db-4a32-8eab-a885cf6ebdac,False,3,103.0,0,1,761.681
AEYCrDkSCaMveaVwnKTy,88168550-44f4-48ea-8349-03af6d860f22,False,3,17.0,1,4,67.862
cKYfi0PqC2teZOLBIBP8,2ade31d9-371a-40a5-b6f9-3d2de2b6980d,True,1,3.0,0,7,44.265
f5SxJOQ6uSOsX20euoPK,cb3f86dc-2528-4cfc-8fd7-5cacb863d20c,True,2,14.0,0,0,125.429
zAJbC1G3AbwNMd8ubcrK,a4c0f3c7-f912-4fa5-b303-f2a655071def,True,1,3.0,4,4,29.22
SERsCMxT0za3gq8M5tEB,a36ab69b-2465-4eec-a8bb-550b2641b834,False,3,40.0,0,1,187.139
l9MrcKAgk92tOlyFqZPs,57feadb4-28aa-4e8c-a7fe-6915a5ea9a88,True,1,44.0,2,3,127.289
4cHMOwe5CPDEDkxPlCgf,264d543f-0a05-44ac-9889-0a11064f7826,False,3,27.0,0,8,227.798
CnsPwHZUF6UHNaSFVts2,9de4bd2b-87b7-447b-a6a7-591dae88688f,True,1,50.0,0,0,113.0
McVKno1A145aFQetxw2Y,0e0d7676-7dee-4a84-97d5-c86c2cd7a033,True,2,27.0,0,6,3370.0
