description_id,user_id,description_input,description_output_grid_size,description_output,is_verified,confidence,num_verification_attempts,num_actions,num_actions,generation,user_num_prior_description_experiences,user_num_prior_build_experiences,description_synthesis_time,verification_time
0c65bc8a-e622-4c46-80e3-947b944031f5,6ee123ad-fece-432b-8cee-ce1445f33561,"In the input, you should see...a 3x3 grid with only one color",The output grid size...should be three times larger.9x9,"To make the output, you have to...or the output repeat 3x3 in the 9x9 grid. to determine how many times the grid must repeat, add the number of color pixels in the input grid. if there are 5 colored pixels, you must repeat the input pattern five times, mimicking the shape of the original grid. For each pixel in the input, that is nine pixel in the output. So each pixel in the input stand for one 3x3 grid in the output.",True,5,1,38.0,38.0,5.0,1,0,690,187
1d098037-93e2-45dd-9acc-ea8494494923,a9bde85c-24dc-4cc9-b468-4da5d097a480,"In the input, you should see...a 3x3 grid",The output grid size... is 10x10,"To make the output, you have to.....replicate to 10x10 from the than copy to the right of the grid.",False,,3,35.0,35.0,2.0,0,4,557,107
39388dff-d300-41be-8fa7-0d78d62efd99,8c59c3f9-2c09-472b-bd81-d314a595f9ab,"In the input, you should see...a 3X3 grid with some colored blocks",The output grid size...changes to 9X9,"To make the output, you have to...recreate the original block pattern the same number of times as the amount of blocks that make up the pattern",False,,3,49.0,49.0,4.0,2,0,250,107
5293b444-f2dd-48f9-be34-83d68b25232e,75977133-b855-400e-8199-31ce1aa9e31a,"In the input, you should see...blocks with 9 squares",The output grid size...count the number of colored cubes and replicate the pattern by the number of colored squares,"To make the output, you have to...replicate the pattern of the colored squares",False,,3,141.0,141.0,3.0,1,2,290,492
7ef21e17-627c-45b4-af1f-92aaac3acded,b7429919-4707-4710-aba6-98f9a3ce7aee,"In the input, you should see...a 3x3 grid with only one color.",The output grid size...should be three times larger. 9x9.,"To make the output, you have to...repeat the 3x3 input grid in the 9x9 grid. To determine how many times the grid must repeat, add the number of color pixels in the input grid. For example, if there are 5 colored pixels, you must repeat the input pattern five times. The way should repeat is mimicking the shape of the original grid. For each pixel in the input, that is nine pixels in the output. So each pixel in the input stand for one 3x3 grid in the output.",True,4,1,38.0,38.0,1.0,5,1,319,54
c4514950-115d-4390-8362-5b77fd63a83c,51593085-c37c-4ab0-a17d-d5404d0752f1,"In the input, you should see...3x3 grid with a colored pattern",The output grid size... output grid size is 9x9,"To make the output, you have to...create a black 9x9 grid. Copy the pattern of the input grid onto the output grid. However, the number of copies on the output grid is determined by the number of colored squares on the input grid. So if there are 3 colored squares on the input grid, you have to copy the pattern on the output grid 3 times. And if there are 5 colored squares on the input grid, you have to copy the pattern 5 times. The location of the copied pattern on the output grid also follows the location of each of the colored squares on the input grid.",True,4,1,42.0,42.0,7.0,4,3,456,51
e62545f6-239e-4563-a18e-ec527ceabac5,34137dc5-f9c3-4b64-8fea-55a4873ce738,"In the input, you should see...it is well",The output grid size...same  size,"To make the output, you have to...same input",False,,3,38.0,38.0,0.0,5,5,95,107
f956218f-7ddc-4f8e-aa2d-f911cf2a7132,657befc7-a20e-401d-9f38-294da4c25177,"In the input, you should see...3X3 WITH SAME COLOR",The output grid size...THEN RESIZE THE PATTERN AND ADD COLOR,"To make the output, you have to...SIMILAR TO PATTERN OF THE INPUT",False,,3,12.0,12.0,6.0,3,6,350,40
2def69cd-2840-41b2-8964-e4c2e11b4b78,894474e1-31c8-4b48-a56a-2675f803eac7,"In the input, you should see...a design with lines and empty squares.",The output grid size...stays the same.,"To make the output, you have to...look at the color that form the design in the input.Find any empty areas of blocks that are enclosed  by the lines that form the main design, fill them yellow.You should end with the same original design from the input, but with the empty areas filled yellow.",True,10,1,10.0,10.0,3.0,2,2,1022,2949
6206e6be-8f69-4c1b-b8c0-65aae0dc7659,0caea7d6-98de-4f24-bb85-add2f29351e9,"In the input, you should see...green pixels in a random order, there should be some shapes that are totally surrounded by green pixels.",The output grid size...is the same as the input grid size.,"To make the output, you have to...copy the input grid and then fill in all of the areas that are surrounded totally by green pixels.",True,1,1,10.0,10.0,0.0,3,1,171,19
