,task_id_number,task_id_string,best_see_description,best_grid_description,best_do_description,desc_num_builds,desc_num_successsful_builds
7ef21e17-627c-45b4-af1f-92aaac3acded,0,007bbfb7.json,"In the input, you should see...a 3x3 grid with only one color.",The output grid size...should be three times larger. 9x9.,"To make the output, you have to...repeat the 3x3 input grid in the 9x9 grid. To determine how many times the grid must repeat, add the number of color pixels in the input grid. For example, if there are 5 colored pixels, you must repeat the input pattern five times. The way should repeat is mimicking the shape of the original grid. For each pixel in the input, that is nine pixels in the output. So each pixel in the input stand for one 3x3 grid in the output.",1,0
2def69cd-2840-41b2-8964-e4c2e11b4b78,1,00d62c1b.json,"In the input, you should see...a design with lines and empty squares.",The output grid size...stays the same.,"To make the output, you have to...look at the color that form the design in the input.Find any empty areas of blocks that are enclosed  by the lines that form the main design, fill them yellow.You should end with the same original design from the input, but with the empty areas filled yellow.",1,1
b2478896-682c-4450-8e5b-4b9d735c1a98,2,017c7c7b.json,"In the input, you should see...colored grid in with black grid",The output grid size... change into 3x9,"To make the output, you have to...after change grid size use the same pattern but change the color into red, assume the design is in 3x9 grid",1,0
f3cfc99b-13b9-4966-a647-7f7778bd6129,3,025d127b.json,"In the input, you should see...black background with colored shape",The output grid size...should stay the same,"To make the output, you have to...Copy input grid over. find the bottom of the shape. Go up to the next row with the multicolored blocks and move everything over one row. Everything except the bottom row and the block that connects to the bottom row on the right side will have shifted one block over to the left.",4,0
79119373-ce69-4bf8-9eb2-75259e08c6c4,4,045e512c.json,"In the input, you should see...a reference shape, which will be the shape with the most blocks, with various colored blocks to its sides.",The output grid size...stays the same size.,"To make the output, you have to... replicate the reference shape, using the color of the other  blocks as a start point and then replicate that pattern to the edge of the grid, even if it needs a incomplete shape.",1,0
b1036bd1-060c-4c1b-a7d2-247c3b3d78c7,5,0520fde7.json,"In the input, you should see...a grid with a gray line down the center",The output grid size...should be 3x3,"To make the output, you have to... look at both the left and right parts of the input grid. You will notice that the left and right parts are 3x3. For each square that is colored on both the left and right parts, color the output grid with red on the new 3x3.",4,3
437edadf-39e1-4323-8004-40d0786c0ebb,6,05269061.json,"In the input, you should see...7 by 7 grid being different colored on black background",The output grid size...should be same as input size,"To make the output, you have to...fill the black grid with same pattern of row color, next row need to replace the same pattern of first row one column move shifted left",1,0
3a9a5a54-23f6-49ae-a3f5-5b79070d9419,7,05f2a901.json,"In the input, you should see...a light blue cube and a red shape.",The output grid size...is the same as the input grid.,"To make the output, you have to...keep the light blue cube in the same exact location. Then copy and move the other shape directly towards the blue cube, until it is touching it. At the end you'll have the light blue cube in the same exact spot as in the input grid and the the other shape will be the same but moved directly towards and touching the blue cube.",5,5
e500c1a0-d480-4cfe-ac3e-230f2b2ca204,8,06df4c85.json,"In the input, you should see... different color pattern on black background",The output grid size...should be same as input size,"To make the output, you have to...fill the black 2x2 square grid with same color in between the two same color of 2x2 grid and connect",2,2
35002b5e-55f1-4837-b627-257a14db0bff,9,08ed6ac7.json,"In the input, you should see...a few bars that are gray",The output grid size...does not change,"To make the output, you have to...change the color of the tallest to blue, then second talest to red,third tallest to green,then finally shortest to yellow for both pairs.",3,3
b106b8c7-c102-4b18-93bb-07c6ecb880e8,10,09629e4f.json,"In the input, you should see...a gray grid with 9 different smaller squares with various color block patterns.",The output grid size...remains the same.,"To make the output, you have to...find the square that has only four color blocks in the pattern. Use that design to fill the blocks in the output design. The gray areas stay the same.",3,0
507f0466-8632-405b-b7e1-d2a2ded1f421,11,0962bcdd.json,"In the input, you should see...follow close",The output grid size...according,"To make the output, you have to...except corresponding",1,0
5a735fb9-e38a-4fc1-8426-c1597f6f2ee8,12,0a938d79.json,"In the input, you should see...either a long or tall black grid with 2 different colored pixels",The output grid size... remains the same.,"To make the output, you have to... create a pattern of short stripes alternating between the 2 colors. Start from the first colored pixel and create a line that goes to the opposite side using that color. Then go to the second colored pixel and do the same. Continue the pattern of stripes to the RIGHT for a long grid or go DOWN for a tall grid all the way to the end.",3,2
622741cb-f3b0-4773-b655-3ea78470095b,13,0b148d64.json,"In the input, you should see...a rectangular pattern in each corner, one a different color than the others.",The output grid size...becomes the size of the pattern that is a different color.,"To make the output, you have to...copy the pattern that is a different color",1,1
441f999f-f6e8-444d-8bb6-5fbd6ab6a07a,14,0ca9ddb6.json,"In the input, you should see...grid with single pixel colored squares",The output grid size...same as input,"To make the output, you have to...copy image exactly.  Where there's a red square, put yellow squares at it's corners (4 total).  Where there's a dark blue square, put orange squares directly above and below it (4 total). Do nothing with light blue or magenta squares",3,3
0f62645c-be79-4bf2-afba-39794982132f,15,0d3d703e.json,"In the input, you should see...a 3 by 3 grid with three different colored column.",The output grid size...is also 3 by 3.,"To make the output, you have to...change the column color to a specific other color. If the original color is dark red, change it to pink. If it is green, change it to yellow. If dark blue, change to grey. If light blue, change to dark red. The opposite is also true (for example if it is light blue, change to dark red).",2,2
da941e63-f11e-475b-99a3-b671112264c7,16,0dfd9992.json,"In the input, you should see...a mostly filled in grid with a few black holes.",The output grid size...is the same as the input grid.,"To make the output, you have to...start by copying the input grid exactly. Fill in all of the black boxes to complete the pattern until there are no more black boxes. To do this notice the pattern of the colored boxes. For example the top row might repeat every 4th row (or 5 rows or whatever the number of rows is before it repeats).  Once you've figured out the pattern just fill in the black boxes with the correct colored boxes. In the end you should see repeating patterns of colored boxes and there should be no black boxes in the grid.",3,3
1174a5d6-881a-4a73-a216-7b3147c34dde,17,0e206a2e.json,"In the input, you should see...a fully colored object and unfulfilled 3 color boxes with black backround.",The output grid size...is same as given,"To make the output, you have to...try to fill up the empty space between the three color boxes as the original object given.",1,0
